sex,rings,length_mm,diameter_mm,height_mm,whole_weight_g,shucked_weight_g,viscera_weight_g,shell_weight_g
M,15,91,73,19,102.8,44.9,20.200000000000003,30
M,7,70,53,18,45.1,19.900000000000002,9.700000000000001,14.000000000000002
F,9,106,84,27,135.4,51.300000000000004,28.299999999999997,42
M,10,88,73,25,103.2,43.1,22.8,31
I,7,66,51,16,41,17.9,7.9,11
I,8,85,60,19,70.3,28.199999999999996,15.5,24
F,20,106,83,30,155.5,47.4,28.299999999999997,66
F,16,109.00000000000001,85,25,153.6,58.8,29.9,52
M,9,95,74,25,101.89999999999999,43.3,22.5,33
F,19,110.00000000000001,88,30,178.9,62.9,30.2,64
F,14,105,76,28.000000000000004,121.30000000000001,38.800000000000004,29.5,42
M,10,86,70,22,81.2,33.5,16.2,27
M,11,98,76,27,108.3,43.5,19,38
F,10,107,81,28.999999999999996,136.9,54.50000000000001,34.2,41
F,10,94,71,20,95.1,33.5,16.1,37
M,12,100,80,26,132.9,51.6,26.6,48
I,7,71,56.00000000000001,17,58.099999999999994,19,7.9,23
F,10,88,68,20,90.2,37.6,17.4,26
M,7,73,59,16,51.1,19.400000000000002,8.6,20
M,9,90,64,20,76.2,34.1,15,23
M,11,71,56.00000000000001,19,49.1,19.1,12.4,15
I,10,76,55.00000000000001,20,45.1,16,9.8,17
F,12,112.99999999999999,88,31,187.9,85.5,42.8,54
F,9,110.00000000000001,83,27,152.7,63.6,42,40
F,10,123,96,33,232.29999999999998,102.60000000000001,60.199999999999996,61
F,11,112.00000000000001,88,28.000000000000004,185.7,76.5,37.6,60
F,11,115.99999999999999,90,37,199.10000000000002,78.9,54.400000000000006,56.99999999999999
M,12,118,89,28.000000000000004,186.20000000000002,71.2,46.800000000000004,56.00000000000001
M,15,121,95,36,187.3,78.8,43.8,59
M,11,114.99999999999999,85,28.000000000000004,172.70000000000002,78.60000000000001,45.4,40
M,10,115.99999999999999,94,33,199.5,78.7,48.4,66
F,15,136,112.00000000000001,33,327.8,121.10000000000001,56.10000000000001,92
M,18,133,105,33,267.6,110.3,71.5,70
F,19,136,110.00000000000001,35,359.6,163,78.5,91
F,13,141,110.00000000000001,40,341.9,126.6,82.3,98
M,8,93,71,21,95.89999999999999,45.4,24.8,25
F,16,108,95,31,243.4,106.1,61.5,68
F,8,90,71,21,104.5,47.4,23.3,28.999999999999996
F,11,114.99999999999999,89,27,176.6,76.2,40.699999999999996,52
M,9,71,57.99999999999999,18,65.5,26.8,17.2,18
F,9,90,67,21,85,37.3,18.2,23
F,14,110.00000000000001,85,27,170.3,72.39999999999999,39.2,54
I,5,48,35,9,14.000000000000002,6.3,4.7,4
I,5,41,30,11,8.4,5.1,3,2.4
I,4,42,30,10,8.4,3.5000000000000004,2.5,3
I,7,78,59,19,40.6,17.5,9,15
M,9,94,74,24,115.9,58.599999999999994,45.4,28.000000000000004
F,7,92,75,24,92.10000000000001,35.5,22,30
I,6,65,49,14.000000000000002,32.2,15.1,5.1,9
F,9,105,85,32,167.1,70.89999999999999,42.699999999999996,49
I,8,104,82,24,119,47.699999999999996,22.2,38
M,7,80,64,19,60.6,26.700000000000003,12,20
M,10,97,72,26,108.3,51.9,19.2,32
F,10,94,72,24,95.5,42.1,21.099999999999998,30
M,7,81,62,20,77,34.599999999999994,18.3,22
F,8,100,80,28.000000000000004,132.29999999999998,51.300000000000004,35.099999999999994,44
M,8,89,70,24,88.5,38.4,19.1,27
M,8,94,77,27,117.9,55.300000000000004,24,34
I,4,49,38,12,17.2,8.4,2.8000000000000003,5
F,7,101,80,25,116.6,49.2,26,35
M,7,90,69,21,82.3,36,22.5,27
M,9,101,81,22,125,61,32,35
F,10,106,82,26,139.3,60.4,38.7,40
M,7,85,65,19,75.7,34.1,16,20
M,8,104,80,24,115.99999999999999,46.800000000000004,26.3,37
M,8,95,71,24,96,46.800000000000004,20.3,27
F,12,112.99999999999999,88,32,183,70.8,38.7,64
F,13,119,99,37,257,83.2,44.800000000000004,97
F,10,95,78,24,106.1,42.699999999999996,23.1,34
I,6,62,47,14.000000000000002,30.2,12.6,8.1,9
M,13,111.00000000000001,85,26,153.29999999999998,52.800000000000004,33.6,55.00000000000001
F,8,80,64,22,70.6,28.1,19.7,20
F,20,119,95,34,249.40000000000003,96,45,85
M,11,113.99999999999999,96,35,237,94.8,52.2,76
F,13,121,90,39,219.60000000000002,96.2,57.9,63
F,15,120,95,30,201.5,88.5,44.2,56.00000000000001
M,9,119,95,28.000000000000004,188.79999999999998,72.5,37.8,63
F,10,120,94,30,184.4,72.6,38.800000000000004,61
F,11,111.00000000000001,85,28.000000000000004,157.6,56.39999999999999,31.900000000000002,56.99999999999999
F,14,123,95,34,220.5,93.89999999999999,47.099999999999994,69
F,9,114.99999999999999,89,28.000000000000004,188.2,76.9,50.4,56.99999999999999
M,12,124,102,35,323,102.1,38.4,135
F,16,104,85,33,197.70000000000002,79.2,45,64
M,21,119,95,32,263.5,81.6,46.800000000000004,115.99999999999999
M,14,115.99999999999999,90,28.000000000000004,202.59999999999997,76,43.2,72
F,12,113.99999999999999,93,36,259,67.80000000000001,44.5,88
